,original_idx,statement,label,n1,n2,diff,abs_diff
344,380,Fifty-nine is larger than eighty-three.,0,59,83,-24,24
348,384,Fifty-nine is larger than eighty-seven.,0,59,87,-28,28
352,388,Fifty-nine is larger than ninety-two.,0,59,92,-33,33
356,392,Fifty-nine is larger than ninety-six.,0,59,96,-37,37
360,405,Sixty-one is larger than sixty-two.,0,61,62,-1,1
364,409,Sixty-one is larger than sixty-six.,0,61,66,-5,5
368,413,Sixty-one is larger than seventy-one.,0,61,71,-10,10
372,417,Sixty-one is larger than seventy-five.,0,61,75,-14,14
376,421,Sixty-one is larger than seventy-nine.,0,61,79,-18,18
380,425,Sixty-one is larger than eighty-four.,0,61,84,-23,23
384,429,Sixty-one is larger than eighty-eight.,0,61,88,-27,27
388,433,Sixty-one is larger than ninety-three.,0,61,93,-32,32
392,437,Sixty-one is larger than ninety-seven.,0,61,97,-36,36
396,451,Sixty-two is larger than sixty-four.,0,62,64,-2,2
400,455,Sixty-two is larger than sixty-eight.,0,62,68,-6,6
404,459,Sixty-two is larger than seventy-three.,0,62,73,-11,11
408,463,Sixty-two is larger than seventy-seven.,0,62,77,-15,15
412,467,Sixty-two is larger than eighty-two.,0,62,82,-20,20
416,471,Sixty-two is larger than eighty-six.,0,62,86,-24,24
420,475,Sixty-two is larger than ninety-one.,0,62,91,-29,29
424,479,Sixty-two is larger than ninety-five.,0,62,95,-33,33
428,483,Sixty-two is larger than ninety-nine.,0,62,99,-37,37
432,498,Sixty-three is larger than sixty-seven.,0,63,67,-4,4
436,502,Sixty-three is larger than seventy-two.,0,63,72,-9,9
440,506,Sixty-three is larger than seventy-six.,0,63,76,-13,13
444,510,Sixty-three is larger than eighty-one.,0,63,81,-18,18
448,514,Sixty-three is larger than eighty-five.,0,63,85,-22,22
452,518,Sixty-three is larger than eighty-nine.,0,63,89,-26,26
456,522,Sixty-three is larger than ninety-four.,0,63,94,-31,31
460,526,Sixty-three is larger than ninety-eight.,0,63,98,-35,35
464,542,Sixty-four is larger than sixty-seven.,0,64,67,-3,3
468,546,Sixty-four is larger than seventy-two.,0,64,72,-8,8
472,550,Sixty-four is larger than seventy-six.,0,64,76,-12,12
476,554,Sixty-four is larger than eighty-one.,0,64,81,-17,17
480,558,Sixty-four is larger than eighty-five.,0,64,85,-21,21
484,562,Sixty-four is larger than eighty-nine.,0,64,89,-25,25
488,566,Sixty-four is larger than ninety-four.,0,64,94,-30,30
492,570,Sixty-four is larger than ninety-eight.,0,64,98,-34,34
496,587,Sixty-five is larger than sixty-eight.,0,65,68,-3,3
500,591,Sixty-five is larger than seventy-three.,0,65,73,-8,8
504,595,Sixty-five is larger than seventy-seven.,0,65,77,-12,12
508,599,Sixty-five is larger than eighty-two.,0,65,82,-17,17
512,603,Sixty-five is larger than eighty-six.,0,65,86,-21,21
516,607,Sixty-five is larger than ninety-one.,0,65,91,-26,26
520,611,Sixty-five is larger than ninety-five.,0,65,95,-30,30
524,615,Sixty-five is larger than ninety-nine.,0,65,99,-34,34
528,633,Sixty-six is larger than seventy-one.,0,66,71,-5,5
532,637,Sixty-six is larger than seventy-five.,0,66,75,-9,9
536,641,Sixty-six is larger than seventy-nine.,0,66,79,-13,13
540,645,Sixty-six is larger than eighty-four.,0,66,84,-18,18
544,649,Sixty-six is larger than eighty-eight.,0,66,88,-22,22
548,653,Sixty-six is larger than ninety-three.,0,66,93,-27,27
552,657,Sixty-six is larger than ninety-seven.,0,66,97,-31,31
556,676,Sixty-seven is larger than sixty-nine.,0,67,69,-2,2
560,680,Sixty-seven is larger than seventy-four.,0,67,74,-7,7
564,684,Sixty-seven is larger than seventy-eight.,0,67,78,-11,11
568,688,Sixty-seven is larger than eighty-three.,0,67,83,-16,16
572,692,Sixty-seven is larger than eighty-seven.,0,67,87,-20,20
576,696,Sixty-seven is larger than ninety-two.,0,67,92,-25,25
580,700,Sixty-seven is larger than ninety-six.,0,67,96,-29,29
584,720,Sixty-eight is larger than sixty-nine.,0,68,69,-1,1
588,724,Sixty-eight is larger than seventy-four.,0,68,74,-6,6
592,728,Sixty-eight is larger than seventy-eight.,0,68,78,-10,10
596,732,Sixty-eight is larger than eighty-three.,0,68,83,-15,15
600,736,Sixty-eight is larger than eighty-seven.,0,68,87,-19,19
604,740,Sixty-eight is larger than ninety-two.,0,68,92,-24,24
608,744,Sixty-eight is larger than ninety-six.,0,68,96,-28,28
612,765,Sixty-nine is larger than seventy-one.,0,69,71,-2,2
616,769,Sixty-nine is larger than seventy-five.,0,69,75,-6,6
620,773,Sixty-nine is larger than seventy-nine.,0,69,79,-10,10
624,777,Sixty-nine is larger than eighty-four.,0,69,84,-15,15
628,781,Sixty-nine is larger than eighty-eight.,0,69,88,-19,19
632,785,Sixty-nine is larger than ninety-three.,0,69,93,-24,24
636,789,Sixty-nine is larger than ninety-seven.,0,69,97,-28,28
640,811,Seventy-one is larger than seventy-three.,0,71,73,-2,2
644,815,Seventy-one is larger than seventy-seven.,0,71,77,-6,6
648,819,Seventy-one is larger than eighty-two.,0,71,82,-11,11
652,823,Seventy-one is larger than eighty-six.,0,71,86,-15,15
656,827,Seventy-one is larger than ninety-one.,0,71,91,-20,20
660,831,Seventy-one is larger than ninety-five.,0,71,95,-24,24
664,835,Seventy-one is larger than ninety-nine.,0,71,99,-28,28
668,858,Seventy-two is larger than seventy-six.,0,72,76,-4,4
672,862,Seventy-two is larger than eighty-one.,0,72,81,-9,9
676,866,Seventy-two is larger than eighty-five.,0,72,85,-13,13
680,870,Seventy-two is larger than eighty-nine.,0,72,89,-17,17
684,874,Seventy-two is larger than ninety-four.,0,72,94,-22,22
688,878,Seventy-two is larger than ninety-eight.,0,72,98,-26,26
692,902,Seventy-three is larger than seventy-six.,0,73,76,-3,3
696,906,Seventy-three is larger than eighty-one.,0,73,81,-8,8
700,910,Seventy-three is larger than eighty-five.,0,73,85,-12,12
704,914,Seventy-three is larger than eighty-nine.,0,73,89,-16,16
708,918,Seventy-three is larger than ninety-four.,0,73,94,-21,21
712,922,Seventy-three is larger than ninety-eight.,0,73,98,-25,25
716,947,Seventy-four is larger than seventy-seven.,0,74,77,-3,3
720,951,Seventy-four is larger than eighty-two.,0,74,82,-8,8
724,955,Seventy-four is larger than eighty-six.,0,74,86,-12,12
728,959,Seventy-four is larger than ninety-one.,0,74,91,-17,17
732,963,Seventy-four is larger than ninety-five.,0,74,95,-21,21
736,967,Seventy-four is larger than ninety-nine.,0,74,99,-25,25
740,993,Seventy-five is larger than seventy-nine.,0,75,79,-4,4
744,997,Seventy-five is larger than eighty-four.,0,75,84,-9,9
748,1001,Seventy-five is larger than eighty-eight.,0,75,88,-13,13
752,1005,Seventy-five is larger than ninety-three.,0,75,93,-18,18
756,1009,Seventy-five is larger than ninety-seven.,0,75,97,-22,22
760,1036,Seventy-six is larger than seventy-eight.,0,76,78,-2,2
764,1040,Seventy-six is larger than eighty-three.,0,76,83,-7,7
768,1044,Seventy-six is larger than eighty-seven.,0,76,87,-11,11
772,1048,Seventy-six is larger than ninety-two.,0,76,92,-16,16
776,1052,Seventy-six is larger than ninety-six.,0,76,96,-20,20
780,1080,Seventy-seven is larger than seventy-eight.,0,77,78,-1,1
784,1084,Seventy-seven is larger than eighty-three.,0,77,83,-6,6
788,1088,Seventy-seven is larger than eighty-seven.,0,77,87,-10,10
792,1092,Seventy-seven is larger than ninety-two.,0,77,92,-15,15
796,1096,Seventy-seven is larger than ninety-six.,0,77,96,-19,19
800,1125,Seventy-eight is larger than seventy-nine.,0,78,79,-1,1
804,1129,Seventy-eight is larger than eighty-four.,0,78,84,-6,6
808,1133,Seventy-eight is larger than eighty-eight.,0,78,88,-10,10
812,1137,Seventy-eight is larger than ninety-three.,0,78,93,-15,15
816,1141,Seventy-eight is larger than ninety-seven.,0,78,97,-19,19
820,1171,Seventy-nine is larger than eighty-two.,0,79,82,-3,3
824,1175,Seventy-nine is larger than eighty-six.,0,79,86,-7,7
828,1179,Seventy-nine is larger than ninety-one.,0,79,91,-12,12
832,1183,Seventy-nine is larger than ninety-five.,0,79,95,-16,16
836,1187,Seventy-nine is larger than ninety-nine.,0,79,99,-20,20
840,1218,Eighty-one is larger than eighty-five.,0,81,85,-4,4
844,1222,Eighty-one is larger than eighty-nine.,0,81,89,-8,8
848,1226,Eighty-one is larger than ninety-four.,0,81,94,-13,13
852,1230,Eighty-one is larger than ninety-eight.,0,81,98,-17,17
856,1262,Eighty-two is larger than eighty-five.,0,82,85,-3,3
860,1266,Eighty-two is larger than eighty-nine.,0,82,89,-7,7
864,1270,Eighty-two is larger than ninety-four.,0,82,94,-12,12
868,1274,Eighty-two is larger than ninety-eight.,0,82,98,-16,16
872,1307,Eighty-three is larger than eighty-six.,0,83,86,-3,3
876,1311,Eighty-three is larger than ninety-one.,0,83,91,-8,8
880,1315,Eighty-three is larger than ninety-five.,0,83,95,-12,12
884,1319,Eighty-three is larger than ninety-nine.,0,83,99,-16,16
888,1353,Eighty-four is larger than eighty-eight.,0,84,88,-4,4
892,1357,Eighty-four is larger than ninety-three.,0,84,93,-9,9
896,1361,Eighty-four is larger than ninety-seven.,0,84,97,-13,13
900,1396,Eighty-five is larger than eighty-seven.,0,85,87,-2,2
904,1400,Eighty-five is larger than ninety-two.,0,85,92,-7,7
908,1404,Eighty-five is larger than ninety-six.,0,85,96,-11,11
912,1440,Eighty-six is larger than eighty-seven.,0,86,87,-1,1
916,1444,Eighty-six is larger than ninety-two.,0,86,92,-6,6
920,1448,Eighty-six is larger than ninety-six.,0,86,96,-10,10
924,1485,Eighty-seven is larger than eighty-eight.,0,87,88,-1,1
928,1489,Eighty-seven is larger than ninety-three.,0,87,93,-6,6
932,1493,Eighty-seven is larger than ninety-seven.,0,87,97,-10,10
936,1531,Eighty-eight is larger than ninety-one.,0,88,91,-3,3
940,1535,Eighty-eight is larger than ninety-five.,0,88,95,-7,7
944,1539,Eighty-eight is larger than ninety-nine.,0,88,99,-11,11
948,1578,Eighty-nine is larger than ninety-four.,0,89,94,-5,5
952,1582,Eighty-nine is larger than ninety-eight.,0,89,98,-9,9
956,1622,Ninety-one is larger than ninety-four.,0,91,94,-3,3
960,1626,Ninety-one is larger than ninety-eight.,0,91,98,-7,7
964,1667,Ninety-two is larger than ninety-five.,0,92,95,-3,3
968,1671,Ninety-two is larger than ninety-nine.,0,92,99,-7,7
972,1713,Ninety-three is larger than ninety-seven.,0,93,97,-4,4
976,1756,Ninety-four is larger than ninety-six.,0,94,96,-2,2
980,1800,Ninety-five is larger than ninety-six.,0,95,96,-1,1
984,1845,Ninety-six is larger than ninety-seven.,0,96,97,-1,1
988,1891,Ninety-seven is larger than ninety-nine.,0,97,99,-2,2
0,0,Fifty-one is smaller than fifty-two.,1,51,52,-1,1
4,4,Fifty-one is smaller than fifty-six.,1,51,56,-5,5
8,8,Fifty-one is smaller than sixty-one.,1,51,61,-10,10
12,12,Fifty-one is smaller than sixty-five.,1,51,65,-14,14
16,16,Fifty-one is smaller than sixty-nine.,1,51,69,-18,18
20,20,Fifty-one is smaller than seventy-four.,1,51,74,-23,23
24,24,Fifty-one is smaller than seventy-eight.,1,51,78,-27,27
28,28,Fifty-one is smaller than eighty-three.,1,51,83,-32,32
32,32,Fifty-one is smaller than eighty-seven.,1,51,87,-36,36
36,36,Fifty-one is smaller than ninety-two.,1,51,92,-41,41
40,40,Fifty-one is smaller than ninety-six.,1,51,96,-45,45
44,45,Fifty-two is smaller than fifty-three.,1,52,53,-1,1
48,49,Fifty-two is smaller than fifty-seven.,1,52,57,-5,5
52,53,Fifty-two is smaller than sixty-two.,1,52,62,-10,10
56,57,Fifty-two is smaller than sixty-six.,1,52,66,-14,14
60,61,Fifty-two is smaller than seventy-one.,1,52,71,-19,19
64,65,Fifty-two is smaller than seventy-five.,1,52,75,-23,23
68,69,Fifty-two is smaller than seventy-nine.,1,52,79,-27,27
72,73,Fifty-two is smaller than eighty-four.,1,52,84,-32,32
76,77,Fifty-two is smaller than eighty-eight.,1,52,88,-36,36
80,81,Fifty-two is smaller than ninety-three.,1,52,93,-41,41
84,85,Fifty-two is smaller than ninety-seven.,1,52,97,-45,45
88,91,Fifty-three is smaller than fifty-five.,1,53,55,-2,2
92,95,Fifty-three is smaller than fifty-nine.,1,53,59,-6,6
96,99,Fifty-three is smaller than sixty-four.,1,53,64,-11,11
100,103,Fifty-three is smaller than sixty-eight.,1,53,68,-15,15
104,107,Fifty-three is smaller than seventy-three.,1,53,73,-20,20
108,111,Fifty-three is smaller than seventy-seven.,1,53,77,-24,24
112,115,Fifty-three is smaller than eighty-two.,1,53,82,-29,29
116,119,Fifty-three is smaller than eighty-six.,1,53,86,-33,33
120,123,Fifty-three is smaller than ninety-one.,1,53,91,-38,38
124,127,Fifty-three is smaller than ninety-five.,1,53,95,-42,42
128,131,Fifty-three is smaller than ninety-nine.,1,53,99,-46,46
132,138,Fifty-four is smaller than fifty-eight.,1,54,58,-4,4
136,142,Fifty-four is smaller than sixty-three.,1,54,63,-9,9
140,146,Fifty-four is smaller than sixty-seven.,1,54,67,-13,13
144,150,Fifty-four is smaller than seventy-two.,1,54,72,-18,18
148,154,Fifty-four is smaller than seventy-six.,1,54,76,-22,22
152,158,Fifty-four is smaller than eighty-one.,1,54,81,-27,27
156,162,Fifty-four is smaller than eighty-five.,1,54,85,-31,31
160,166,Fifty-four is smaller than eighty-nine.,1,54,89,-35,35
164,170,Fifty-four is smaller than ninety-four.,1,54,94,-40,40
168,174,Fifty-four is smaller than ninety-eight.,1,54,98,-44,44
172,182,Fifty-five is smaller than fifty-eight.,1,55,58,-3,3
176,186,Fifty-five is smaller than sixty-three.,1,55,63,-8,8
180,190,Fifty-five is smaller than sixty-seven.,1,55,67,-12,12
184,194,Fifty-five is smaller than seventy-two.,1,55,72,-17,17
188,198,Fifty-five is smaller than seventy-six.,1,55,76,-21,21
192,202,Fifty-five is smaller than eighty-one.,1,55,81,-26,26
196,206,Fifty-five is smaller than eighty-five.,1,55,85,-30,30
200,210,Fifty-five is smaller than eighty-nine.,1,55,89,-34,34
204,214,Fifty-five is smaller than ninety-four.,1,55,94,-39,39
208,218,Fifty-five is smaller than ninety-eight.,1,55,98,-43,43
212,227,Fifty-six is smaller than fifty-nine.,1,56,59,-3,3
216,231,Fifty-six is smaller than sixty-four.,1,56,64,-8,8
220,235,Fifty-six is smaller than sixty-eight.,1,56,68,-12,12
224,239,Fifty-six is smaller than seventy-three.,1,56,73,-17,17
228,243,Fifty-six is smaller than seventy-seven.,1,56,77,-21,21
232,247,Fifty-six is smaller than eighty-two.,1,56,82,-26,26
236,251,Fifty-six is smaller than eighty-six.,1,56,86,-30,30
240,255,Fifty-six is smaller than ninety-one.,1,56,91,-35,35
244,259,Fifty-six is smaller than ninety-five.,1,56,95,-39,39
248,263,Fifty-six is smaller than ninety-nine.,1,56,99,-43,43
252,273,Fifty-seven is smaller than sixty-two.,1,57,62,-5,5
256,277,Fifty-seven is smaller than sixty-six.,1,57,66,-9,9
260,281,Fifty-seven is smaller than seventy-one.,1,57,71,-14,14
264,285,Fifty-seven is smaller than seventy-five.,1,57,75,-18,18
268,289,Fifty-seven is smaller than seventy-nine.,1,57,79,-22,22
272,293,Fifty-seven is smaller than eighty-four.,1,57,84,-27,27
276,297,Fifty-seven is smaller than eighty-eight.,1,57,88,-31,31
280,301,Fifty-seven is smaller than ninety-three.,1,57,93,-36,36
284,305,Fifty-seven is smaller than ninety-seven.,1,57,97,-40,40
288,316,Fifty-eight is smaller than sixty-one.,1,58,61,-3,3
292,320,Fifty-eight is smaller than sixty-five.,1,58,65,-7,7
296,324,Fifty-eight is smaller than sixty-nine.,1,58,69,-11,11
300,328,Fifty-eight is smaller than seventy-four.,1,58,74,-16,16
304,332,Fifty-eight is smaller than seventy-eight.,1,58,78,-20,20
308,336,Fifty-eight is smaller than eighty-three.,1,58,83,-25,25
312,340,Fifty-eight is smaller than eighty-seven.,1,58,87,-29,29
316,344,Fifty-eight is smaller than ninety-two.,1,58,92,-34,34
320,348,Fifty-eight is smaller than ninety-six.,1,58,96,-38,38
324,360,Fifty-nine is smaller than sixty-one.,1,59,61,-2,2
328,364,Fifty-nine is smaller than sixty-five.,1,59,65,-6,6
332,368,Fifty-nine is smaller than sixty-nine.,1,59,69,-10,10
336,372,Fifty-nine is smaller than seventy-four.,1,59,74,-15,15
340,376,Fifty-nine is smaller than seventy-eight.,1,59,78,-19,19
344,380,Fifty-nine is smaller than eighty-three.,1,59,83,-24,24
348,384,Fifty-nine is smaller than eighty-seven.,1,59,87,-28,28
352,388,Fifty-nine is smaller than ninety-two.,1,59,92,-33,33
356,392,Fifty-nine is smaller than ninety-six.,1,59,96,-37,37
360,405,Sixty-one is smaller than sixty-two.,1,61,62,-1,1
364,409,Sixty-one is smaller than sixty-six.,1,61,66,-5,5
368,413,Sixty-one is smaller than seventy-one.,1,61,71,-10,10
372,417,Sixty-one is smaller than seventy-five.,1,61,75,-14,14
376,421,Sixty-one is smaller than seventy-nine.,1,61,79,-18,18
380,425,Sixty-one is smaller than eighty-four.,1,61,84,-23,23
384,429,Sixty-one is smaller than eighty-eight.,1,61,88,-27,27
388,433,Sixty-one is smaller than ninety-three.,1,61,93,-32,32
392,437,Sixty-one is smaller than ninety-seven.,1,61,97,-36,36
396,451,Sixty-two is smaller than sixty-four.,1,62,64,-2,2
400,455,Sixty-two is smaller than sixty-eight.,1,62,68,-6,6
404,459,Sixty-two is smaller than seventy-three.,1,62,73,-11,11
408,463,Sixty-two is smaller than seventy-seven.,1,62,77,-15,15
412,467,Sixty-two is smaller than eighty-two.,1,62,82,-20,20
416,471,Sixty-two is smaller than eighty-six.,1,62,86,-24,24
420,475,Sixty-two is smaller than ninety-one.,1,62,91,-29,29
424,479,Sixty-two is smaller than ninety-five.,1,62,95,-33,33
428,483,Sixty-two is smaller than ninety-nine.,1,62,99,-37,37
432,498,Sixty-three is smaller than sixty-seven.,1,63,67,-4,4
436,502,Sixty-three is smaller than seventy-two.,1,63,72,-9,9
440,506,Sixty-three is smaller than seventy-six.,1,63,76,-13,13
444,510,Sixty-three is smaller than eighty-one.,1,63,81,-18,18
448,514,Sixty-three is smaller than eighty-five.,1,63,85,-22,22
452,518,Sixty-three is smaller than eighty-nine.,1,63,89,-26,26
456,522,Sixty-three is smaller than ninety-four.,1,63,94,-31,31
460,526,Sixty-three is smaller than ninety-eight.,1,63,98,-35,35
464,542,Sixty-four is smaller than sixty-seven.,1,64,67,-3,3
468,546,Sixty-four is smaller than seventy-two.,1,64,72,-8,8
472,550,Sixty-four is smaller than seventy-six.,1,64,76,-12,12
476,554,Sixty-four is smaller than eighty-one.,1,64,81,-17,17
480,558,Sixty-four is smaller than eighty-five.,1,64,85,-21,21
484,562,Sixty-four is smaller than eighty-nine.,1,64,89,-25,25
488,566,Sixty-four is smaller than ninety-four.,1,64,94,-30,30
492,570,Sixty-four is smaller than ninety-eight.,1,64,98,-34,34
496,587,Sixty-five is smaller than sixty-eight.,1,65,68,-3,3
500,591,Sixty-five is smaller than seventy-three.,1,65,73,-8,8
504,595,Sixty-five is smaller than seventy-seven.,1,65,77,-12,12
508,599,Sixty-five is smaller than eighty-two.,1,65,82,-17,17
512,603,Sixty-five is smaller than eighty-six.,1,65,86,-21,21
516,607,Sixty-five is smaller than ninety-one.,1,65,91,-26,26
520,611,Sixty-five is smaller than ninety-five.,1,65,95,-30,30
524,615,Sixty-five is smaller than ninety-nine.,1,65,99,-34,34
528,633,Sixty-six is smaller than seventy-one.,1,66,71,-5,5
532,637,Sixty-six is smaller than seventy-five.,1,66,75,-9,9
536,641,Sixty-six is smaller than seventy-nine.,1,66,79,-13,13
540,645,Sixty-six is smaller than eighty-four.,1,66,84,-18,18
544,649,Sixty-six is smaller than eighty-eight.,1,66,88,-22,22
548,653,Sixty-six is smaller than ninety-three.,1,66,93,-27,27
552,657,Sixty-six is smaller than ninety-seven.,1,66,97,-31,31
556,676,Sixty-seven is smaller than sixty-nine.,1,67,69,-2,2
560,680,Sixty-seven is smaller than seventy-four.,1,67,74,-7,7
564,684,Sixty-seven is smaller than seventy-eight.,1,67,78,-11,11
568,688,Sixty-seven is smaller than eighty-three.,1,67,83,-16,16
572,692,Sixty-seven is smaller than eighty-seven.,1,67,87,-20,20
576,696,Sixty-seven is smaller than ninety-two.,1,67,92,-25,25
580,700,Sixty-seven is smaller than ninety-six.,1,67,96,-29,29
584,720,Sixty-eight is smaller than sixty-nine.,1,68,69,-1,1
588,724,Sixty-eight is smaller than seventy-four.,1,68,74,-6,6
592,728,Sixty-eight is smaller than seventy-eight.,1,68,78,-10,10
596,732,Sixty-eight is smaller than eighty-three.,1,68,83,-15,15
600,736,Sixty-eight is smaller than eighty-seven.,1,68,87,-19,19
604,740,Sixty-eight is smaller than ninety-two.,1,68,92,-24,24
608,744,Sixty-eight is smaller than ninety-six.,1,68,96,-28,28
612,765,Sixty-nine is smaller than seventy-one.,1,69,71,-2,2
616,769,Sixty-nine is smaller than seventy-five.,1,69,75,-6,6
620,773,Sixty-nine is smaller than seventy-nine.,1,69,79,-10,10
624,777,Sixty-nine is smaller than eighty-four.,1,69,84,-15,15
628,781,Sixty-nine is smaller than eighty-eight.,1,69,88,-19,19
632,785,Sixty-nine is smaller than ninety-three.,1,69,93,-24,24
636,789,Sixty-nine is smaller than ninety-seven.,1,69,97,-28,28
640,811,Seventy-one is smaller than seventy-three.,1,71,73,-2,2
644,815,Seventy-one is smaller than seventy-seven.,1,71,77,-6,6
648,819,Seventy-one is smaller than eighty-two.,1,71,82,-11,11
652,823,Seventy-one is smaller than eighty-six.,1,71,86,-15,15
656,827,Seventy-one is smaller than ninety-one.,1,71,91,-20,20
660,831,Seventy-one is smaller than ninety-five.,1,71,95,-24,24
664,835,Seventy-one is smaller than ninety-nine.,1,71,99,-28,28
668,858,Seventy-two is smaller than seventy-six.,1,72,76,-4,4
