,Unnamed: 0,original_idx,statement,label,n1,n2,diff,abs_diff
692,784,1084,Seventy-seven is smaller than eighty-three.,1,77,83,-6,6
443,780,1080,Seventy-seven is larger than seventy-eight.,0,77,78,-1,1
783,156,795,Seventy-one is smaller than fifty-four.,0,71,54,17,17
432,736,967,Seventy-four is larger than ninety-nine.,0,74,99,-25,25
200,800,1780,Ninety-five is larger than seventy-three.,1,95,73,22,22
361,452,518,Sixty-three is larger than eighty-nine.,0,63,89,-26,26
390,568,688,Sixty-seven is larger than eighty-three.,0,67,83,-16,16
25,100,625,Sixty-six is larger than sixty-one.,1,66,61,5,5
68,272,1031,Seventy-six is larger than seventy-two.,1,76,72,4,4
799,220,934,Seventy-four is smaller than sixty-two.,0,74,62,12,12
189,756,1731,Ninety-four is larger than sixty-seven.,1,94,67,27,27
116,464,1349,Eighty-four is larger than eighty-three.,1,84,83,1,1
558,248,263,Fifty-six is smaller than ninety-nine.,1,56,99,-43,43
719,892,1357,Eighty-four is smaller than ninety-three.,1,84,93,-9,9
408,640,811,Seventy-one is larger than seventy-three.,0,71,73,-2,2
717,884,1319,Eighty-three is smaller than ninety-nine.,1,83,99,-16,16
433,740,993,Seventy-five is larger than seventy-nine.,0,75,79,-4,4
487,956,1622,Ninety-one is larger than ninety-four.,0,91,94,-3,3
127,508,1420,Eighty-six is larger than sixty-four.,1,86,64,22,22
245,980,1970,Ninety-nine is larger than eighty-eight.,1,99,88,11,11
784,160,799,Seventy-one is smaller than fifty-eight.,0,71,58,13,13
714,872,1307,Eighty-three is smaller than eighty-six.,1,83,86,-3,3
627,524,615,Sixty-five is smaller than ninety-nine.,1,65,99,-34,34
723,908,1404,Eighty-five is smaller than ninety-six.,1,85,96,-11,11
209,836,1820,Ninety-six is larger than sixty-eight.,1,96,68,28,28
370,488,566,Sixty-four is larger than ninety-four.,0,64,94,-30,30
347,396,451,Sixty-two is larger than sixty-four.,0,62,64,-2,2
589,372,417,Sixty-one is smaller than seventy-five.,1,61,75,-14,14
87,348,1167,Seventy-nine is larger than seventy-six.,1,79,76,3,3
747,12,222,Fifty-six is smaller than fifty-three.,0,56,53,3,3
396,592,728,Sixty-eight is larger than seventy-eight.,0,68,78,-10,10
290,168,174,Fifty-four is larger than ninety-eight.,0,54,98,-44,44
759,60,489,Sixty-three is smaller than fifty-six.,0,63,56,7,7
82,328,1147,Seventy-nine is larger than fifty-four.,1,79,54,25,25
323,300,328,Fifty-eight is larger than seventy-four.,0,58,74,-16,16
541,180,190,Fifty-five is smaller than sixty-seven.,1,55,67,-12,12
179,716,1685,Ninety-three is larger than sixty-five.,1,93,65,28,28
954,840,1824,Ninety-six is smaller than seventy-three.,0,96,73,23,23
647,604,740,Sixty-eight is smaller than ninety-two.,1,68,92,-24,24
217,868,1855,Ninety-seven is larger than fifty-eight.,1,97,58,39,39
956,848,1832,Ninety-six is smaller than eighty-two.,0,96,82,14,14
594,392,437,Sixty-one is smaller than ninety-seven.,1,61,97,-36,36
755,44,404,Sixty-one is smaller than fifty-nine.,0,61,59,2,2
413,660,831,Seventy-one is larger than ninety-five.,0,71,95,-24,24
284,144,150,Fifty-four is larger than seventy-two.,0,54,72,-18,18
566,280,301,Fifty-seven is smaller than ninety-three.,1,57,93,-36,36
667,684,874,Seventy-two is smaller than ninety-four.,1,72,94,-22,22
275,108,111,Fifty-three is larger than seventy-seven.,0,53,77,-24,24
16,64,493,Sixty-three is larger than sixty-one.,1,63,61,2,2
989,980,1970,Ninety-nine is smaller than eighty-eight.,0,99,88,11,11
865,484,1383,Eighty-five is smaller than seventy-two.,0,85,72,13,13
388,560,680,Sixty-seven is larger than seventy-four.,0,67,74,-7,7
948,816,1796,Ninety-five is smaller than ninety-one.,0,95,91,4,4
666,680,870,Seventy-two is smaller than eighty-nine.,1,72,89,-17,17
629,532,637,Sixty-six is smaller than seventy-five.,1,66,75,-9,9
942,792,1772,Ninety-five is smaller than sixty-four.,0,95,64,31,31
77,308,1108,Seventy-eight is larger than fifty-nine.,1,78,59,19,19
389,564,684,Sixty-seven is larger than seventy-eight.,0,67,78,-11,11
198,792,1772,Ninety-five is larger than sixty-four.,1,95,64,31,31
978,936,1925,Ninety-eight is smaller than eighty-seven.,0,98,87,11,11
273,100,103,Fifty-three is larger than sixty-eight.,0,53,68,-15,15
96,384,1238,Eighty-two is larger than fifty-seven.,1,82,57,25,25
9,36,396,Sixty-one is larger than fifty-one.,1,61,51,10,10
372,496,587,Sixty-five is larger than sixty-eight.,0,65,68,-3,3
569,292,320,Fifty-eight is smaller than sixty-five.,1,58,65,-7,7
447,796,1096,Seventy-seven is larger than ninety-six.,0,77,96,-19,19
270,88,91,Fifty-three is larger than fifty-five.,0,53,55,-2,2
409,644,815,Seventy-one is larger than seventy-seven.,0,71,77,-6,6
320,288,316,Fifty-eight is larger than sixty-one.,0,58,61,-3,3
44,176,841,Seventy-two is larger than fifty-six.,1,72,56,16,16
35,140,752,Sixty-nine is larger than fifty-five.,1,69,55,14,14
237,948,1938,Ninety-nine is larger than fifty-three.,1,99,53,46,46
863,476,1375,Eighty-five is smaller than sixty-three.,0,85,63,22,22
920,704,1673,Ninety-three is smaller than fifty-two.,0,93,52,41,41
765,84,578,Sixty-five is smaller than fifty-seven.,0,65,57,8,8
466,872,1307,Eighty-three is larger than eighty-six.,0,83,86,-3,3
688,768,1044,Seventy-six is smaller than eighty-seven.,1,76,87,-11,11
194,776,1751,Ninety-four is larger than eighty-nine.,1,94,89,5,5
652,624,777,Sixty-nine is smaller than eighty-four.,1,69,84,-15,15
429,724,955,Seventy-four is larger than eighty-six.,0,74,86,-12,12
536,160,166,Fifty-four is smaller than eighty-nine.,1,54,89,-35,35
170,680,1642,Ninety-two is larger than sixty-six.,1,92,66,26,26
440,768,1044,Seventy-six is larger than eighty-seven.,0,76,87,-11,11
148,592,1527,Eighty-eight is larger than eighty-five.,1,88,85,3,3
979,940,1929,Ninety-eight is smaller than ninety-two.,0,98,92,6,6
553,228,243,Fifty-six is smaller than seventy-seven.,1,56,77,-21,21
474,904,1400,Eighty-five is larger than ninety-two.,0,85,92,-7,7
681,740,993,Seventy-five is smaller than seventy-nine.,1,75,79,-4,4
196,784,1764,Ninety-five is larger than fifty-five.,1,95,55,40,40
418,680,870,Seventy-two is larger than eighty-nine.,0,72,89,-17,17
728,928,1489,Eighty-seven is smaller than ninety-three.,1,87,93,-6,6
800,224,938,Seventy-four is smaller than sixty-six.,0,74,66,8,8
355,428,483,Sixty-two is larger than ninety-nine.,0,62,99,-37,37
191,764,1739,Ninety-four is larger than seventy-six.,1,94,76,18,18
684,752,1005,Seventy-five is smaller than ninety-three.,1,75,93,-18,18
254,24,24,Fifty-one is larger than seventy-eight.,0,51,78,-27,27
493,980,1800,Ninety-five is larger than ninety-six.,0,95,96,-1,1
133,532,1456,Eighty-seven is larger than fifty-five.,1,87,55,32,32
645,596,732,Sixty-eight is smaller than eighty-three.,1,68,83,-15,15
620,496,587,Sixty-five is smaller than sixty-eight.,1,65,68,-3,3
29,116,671,Sixty-seven is larger than sixty-three.,1,67,63,4,4
517,84,85,Fifty-two is smaller than ninety-seven.,1,52,97,-45,45
565,276,297,Fifty-seven is smaller than eighty-eight.,1,57,88,-31,31
891,588,1523,Eighty-eight is smaller than eighty-one.,0,88,81,7,7
858,456,1341,Eighty-four is smaller than seventy-four.,0,84,74,10,10
718,888,1353,Eighty-four is smaller than eighty-eight.,1,84,88,-4,4
665,676,866,Seventy-two is smaller than eighty-five.,1,72,85,-13,13
808,256,1015,Seventy-six is smaller than fifty-four.,0,76,54,22,22
669,692,902,Seventy-three is smaller than seventy-six.,1,73,76,-3,3
523,108,111,Fifty-three is smaller than seventy-seven.,1,53,77,-24,24
520,96,99,Fifty-three is smaller than sixty-four.,1,53,64,-11,11
499,12,12,Fifty-one is smaller than sixty-five.,1,51,65,-14,14
366,472,550,Sixty-four is larger than seventy-six.,0,64,76,-12,12
99,396,1250,Eighty-two is larger than seventy-one.,1,82,71,11,11
923,716,1685,Ninety-three is smaller than sixty-five.,0,93,65,28,28
166,664,1618,Ninety-one is larger than eighty-eight.,1,91,88,3,3
235,940,1929,Ninety-eight is larger than ninety-two.,1,98,92,6,6
597,404,459,Sixty-two is smaller than seventy-three.,1,62,73,-11,11
888,576,1511,Eighty-eight is smaller than sixty-seven.,0,88,67,21,21
428,720,951,Seventy-four is larger than eighty-two.,0,74,82,-8,8
30,120,704,Sixty-eight is larger than fifty-one.,1,68,51,17,17
579,332,368,Fifty-nine is smaller than sixty-nine.,1,59,69,-10,10
344,384,429,Sixty-one is larger than eighty-eight.,0,61,88,-27,27
809,260,1019,Seventy-six is smaller than fifty-eight.,0,76,58,18,18
819,300,1100,Seventy-eight is smaller than fifty-one.,0,78,51,27,27
713,868,1274,Eighty-two is smaller than ninety-eight.,1,82,98,-16,16
267,76,77,Fifty-two is larger than eighty-eight.,0,52,88,-36,36
274,104,107,Fifty-three is larger than seventy-three.,0,53,73,-20,20
790,184,849,Seventy-two is smaller than sixty-five.,0,72,65,7,7
946,808,1788,Ninety-five is smaller than eighty-two.,0,95,82,13,13
950,824,1808,Ninety-six is smaller than fifty-five.,0,96,55,41,41
182,728,1697,Ninety-three is larger than seventy-eight.,1,93,78,15,15
779,140,752,Sixty-nine is smaller than fifty-five.,0,69,55,14,14
159,636,1590,Ninety-one is larger than fifty-seven.,1,91,57,34,34
188,752,1727,Ninety-four is larger than sixty-three.,1,94,63,31,31
638,568,688,Sixty-seven is smaller than eighty-three.,1,67,83,-16,16
734,952,1582,Eighty-nine is smaller than ninety-eight.,1,89,98,-9,9
969,900,1887,Ninety-seven is smaller than ninety-four.,0,97,94,3,3
653,628,781,Sixty-nine is smaller than eighty-eight.,1,69,88,-19,19
769,100,625,Sixty-six is smaller than sixty-one.,0,66,61,5,5
836,368,1205,Eighty-one is smaller than sixty-nine.,0,81,69,12,12
434,744,997,Seventy-five is larger than eighty-four.,0,75,84,-9,9
758,56,485,Sixty-three is smaller than fifty-two.,0,63,52,11,11
140,560,1484,Eighty-seven is larger than eighty-six.,1,87,86,1,1
387,556,676,Sixty-seven is larger than sixty-nine.,0,67,69,-2,2
690,776,1052,Seventy-six is smaller than ninety-six.,1,76,96,-20,20
560,256,277,Fifty-seven is smaller than sixty-six.,1,57,66,-9,9
773,116,671,Sixty-seven is smaller than sixty-three.,0,67,63,4,4
279,124,127,Fifty-three is larger than ninety-five.,0,53,95,-42,42
27,108,663,Sixty-seven is larger than fifty-four.,1,67,54,13,13
65,260,1019,Seventy-six is larger than fifty-eight.,1,76,58,18,18
857,452,1337,Eighty-four is smaller than sixty-nine.,0,84,69,15,15
847,412,1282,Eighty-three is smaller than fifty-seven.,0,83,57,26,26
331,332,368,Fifty-nine is larger than sixty-nine.,0,59,69,-10,10
570,296,324,Fifty-eight is smaller than sixty-nine.,1,58,69,-11,11
486,952,1582,Eighty-nine is larger than ninety-eight.,0,89,98,-9,9
568,288,316,Fifty-eight is smaller than sixty-one.,1,58,61,-3,3
473,900,1396,Eighty-five is larger than eighty-seven.,0,85,87,-2,2
975,924,1913,Ninety-eight is smaller than seventy-four.,0,98,74,24,24
951,828,1812,Ninety-six is smaller than fifty-nine.,0,96,59,37,37
559,252,273,Fifty-seven is smaller than sixty-two.,1,57,62,-5,5
277,116,119,Fifty-three is larger than eighty-six.,0,53,86,-33,33
852,432,1302,Eighty-three is smaller than seventy-nine.,0,83,79,4,4
90,360,1197,Eighty-one is larger than sixty-one.,1,81,61,20,20
635,556,676,Sixty-seven is smaller than sixty-nine.,1,67,69,-2,2
52,208,898,Seventy-three is larger than seventy-one.,1,73,71,2,2
795,204,894,Seventy-three is smaller than sixty-six.,0,73,66,7,7
966,888,1875,Ninety-seven is smaller than eighty-one.,0,97,81,16,16
919,700,1662,Ninety-two is smaller than eighty-eight.,0,92,88,4,4
141,564,1499,Eighty-eight is larger than fifty-four.,1,88,54,34,34
670,696,906,Seventy-three is smaller than eighty-one.,1,73,81,-8,8
931,748,1723,Ninety-four is smaller than fifty-eight.,0,94,58,36,36
712,864,1270,Eighty-two is smaller than ninety-four.,1,82,94,-12,12
168,672,1634,Ninety-two is larger than fifty-seven.,1,92,57,35,35
325,308,336,Fifty-eight is larger than eighty-three.,0,58,83,-25,25
278,120,123,Fifty-three is larger than ninety-one.,0,53,91,-38,38
412,656,827,Seventy-one is larger than ninety-one.,0,71,91,-20,20
298,200,210,Fifty-five is larger than eighty-nine.,0,55,89,-34,34
603,428,483,Sixty-two is smaller than ninety-nine.,1,62,99,-37,37
467,876,1311,Eighty-three is larger than ninety-one.,0,83,91,-8,8
505,36,36,Fifty-one is smaller than ninety-two.,1,51,92,-41,41
661,660,831,Seventy-one is smaller than ninety-five.,1,71,95,-24,24
587,364,409,Sixty-one is smaller than sixty-six.,1,61,66,-5,5
147,588,1523,Eighty-eight is larger than eighty-one.,1,88,81,7,7
710,856,1262,Eighty-two is smaller than eighty-five.,1,82,85,-3,3
961,868,1855,Ninety-seven is smaller than fifty-eight.,0,97,58,39,39
976,928,1917,Ninety-eight is smaller than seventy-eight.,0,98,78,20,20
28,112,667,Sixty-seven is larger than fifty-eight.,1,67,58,9,9
430,728,959,Seventy-four is larger than ninety-one.,0,74,91,-17,17
797,212,926,Seventy-four is smaller than fifty-three.,0,74,53,21,21
415,668,858,Seventy-two is larger than seventy-six.,0,72,76,-4,4
519,92,95,Fifty-three is smaller than fifty-nine.,1,53,59,-6,6
751,28,352,Fifty-nine is smaller than fifty-one.,0,59,51,8,8
197,788,1768,Ninety-five is larger than fifty-nine.,1,95,59,36,36
262,56,57,Fifty-two is larger than sixty-six.,0,52,66,-14,14
512,64,65,Fifty-two is smaller than seventy-five.,1,52,75,-23,23
885,564,1499,Eighty-eight is smaller than fifty-four.,0,88,54,34,34
764,80,574,Sixty-five is smaller than fifty-three.,0,65,53,12,12
616,480,558,Sixty-four is smaller than eighty-five.,1,64,85,-21,21
42,168,807,Seventy-one is larger than sixty-seven.,1,71,67,4,4
33,132,716,Sixty-eight is larger than sixty-four.,1,68,64,4,4
607,444,510,Sixty-three is smaller than eighty-one.,1,63,81,-18,18
750,24,311,Fifty-eight is smaller than fifty-four.,0,58,54,4,4
752,32,356,Fifty-nine is smaller than fifty-five.,0,59,55,4,4
548,208,218,Fifty-five is smaller than ninety-eight.,1,55,98,-43,43
871,508,1420,Eighty-six is smaller than sixty-four.,0,86,64,22,22
110,440,1325,Eighty-four is larger than fifty-six.,1,84,56,28,28
172,688,1650,Ninety-two is larger than seventy-five.,1,92,75,17,17
539,172,182,Fifty-five is smaller than fifty-eight.,1,55,58,-3,3
798,216,930,Seventy-four is smaller than fifty-seven.,0,74,57,17,17
877,532,1456,Eighty-seven is smaller than fifty-five.,0,87,55,32,32
328,320,348,Fifty-eight is larger than ninety-six.,0,58,96,-38,38
310,248,263,Fifty-six is larger than ninety-nine.,0,56,99,-43,43
321,292,320,Fifty-eight is larger than sixty-five.,0,58,65,-7,7
162,648,1602,Ninety-one is larger than seventy-one.,1,91,71,20,20
345,388,433,Sixty-one is larger than ninety-three.,0,61,93,-32,32
868,496,1408,Eighty-six is smaller than fifty-one.,0,86,51,35,35
896,608,1553,Eighty-nine is smaller than sixty-five.,0,89,65,24,24
73,292,1072,Seventy-seven is larger than sixty-eight.,1,77,68,9,9
437,756,1009,Seventy-five is larger than ninety-seven.,0,75,97,-22,22
4,16,265,Fifty-seven is larger than fifty-two.,1,57,52,5,5
671,700,910,Seventy-three is smaller than eighty-five.,1,73,85,-12,12
149,596,1541,Eighty-nine is larger than fifty-two.,1,89,52,37,37
674,712,922,Seventy-three is smaller than ninety-eight.,1,73,98,-25,25
19,76,538,Sixty-four is larger than sixty-two.,1,64,62,2,2
453,820,1171,Seventy-nine is larger than eighty-two.,0,79,82,-3,3
475,908,1404,Eighty-five is larger than ninety-six.,0,85,96,-11,11
534,152,158,Fifty-four is smaller than eighty-one.,1,54,81,-27,27
918,696,1658,Ninety-two is smaller than eighty-four.,0,92,84,8,8
977,932,1921,Ninety-eight is smaller than eighty-three.,0,98,83,15,15
678,728,959,Seventy-four is smaller than ninety-one.,1,74,91,-17,17
573,308,336,Fifty-eight is smaller than eighty-three.,1,58,83,-25,25
139,556,1480,Eighty-seven is larger than eighty-two.,1,87,82,5,5
150,600,1545,Eighty-nine is larger than fifty-six.,1,89,56,33,33
804,240,977,Seventy-five is smaller than sixty-one.,0,75,61,14,14
886,568,1503,Eighty-eight is smaller than fifty-eight.,0,88,58,30,30
584,352,388,Fifty-nine is smaller than ninety-two.,1,59,92,-33,33
624,512,603,Sixty-five is smaller than eighty-six.,1,65,86,-21,21
632,544,649,Sixty-six is smaller than eighty-eight.,1,66,88,-22,22
377,516,607,Sixty-five is larger than ninety-one.,0,65,91,-26,26
85,340,1159,Seventy-nine is larger than sixty-seven.,1,79,67,12,12
704,832,1183,Seventy-nine is smaller than ninety-five.,1,79,95,-16,16
909,660,1614,Ninety-one is smaller than eighty-four.,0,91,84,7,7
53,212,926,Seventy-four is larger than fifty-three.,1,74,53,21,21
406,632,785,Sixty-nine is larger than ninety-three.,0,69,93,-24,24
59,236,973,Seventy-five is larger than fifty-six.,1,75,56,19,19
878,536,1460,Eighty-seven is smaller than fifty-nine.,0,87,59,28,28
173,692,1654,Ninety-two is larger than seventy-nine.,1,92,79,13,13
529,132,138,Fifty-four is smaller than fifty-eight.,1,54,58,-4,4
442,776,1052,Seventy-six is larger than ninety-six.,0,76,96,-20,20
206,824,1808,Ninety-six is larger than fifty-five.,1,96,55,41,41
659,652,823,Seventy-one is smaller than eighty-six.,1,71,86,-15,15
105,420,1290,Eighty-three is larger than sixty-six.,1,83,66,17,17
456,832,1183,Seventy-nine is larger than ninety-five.,0,79,95,-16,16
385,548,653,Sixty-six is larger than ninety-three.,0,66,93,-27,27
97,388,1242,Eighty-two is larger than sixty-two.,1,82,62,20,20
623,508,599,Sixty-five is smaller than eighty-two.,1,65,82,-17,17
715,876,1311,Eighty-three is smaller than ninety-one.,1,83,91,-8,8
577,324,360,Fifty-nine is smaller than sixty-one.,1,59,61,-2,2
756,48,443,Sixty-two is smaller than fifty-four.,0,62,54,8,8
753,36,396,Sixty-one is smaller than fifty-one.,0,61,51,10,10
571,300,328,Fifty-eight is smaller than seventy-four.,1,58,74,-16,16
439,764,1040,Seventy-six is larger than eighty-three.,0,76,83,-7,7
657,644,815,Seventy-one is smaller than seventy-seven.,1,71,77,-6,6
515,76,77,Fifty-two is smaller than eighty-eight.,1,52,88,-36,36
987,972,1962,Ninety-nine is smaller than seventy-nine.,0,99,79,20,20
898,616,1561,Eighty-nine is smaller than seventy-four.,0,89,74,15,15
882,552,1476,Eighty-seven is smaller than seventy-seven.,0,87,77,10,10
943,796,1776,Ninety-five is smaller than sixty-eight.,0,95,68,27,27
801,228,942,Seventy-four is smaller than seventy-one.,0,74,71,3,3
591,380,425,Sixty-one is smaller than eighty-four.,1,61,84,-23,23
18,72,534,Sixty-four is larger than fifty-seven.,1,64,57,7,7
695,796,1096,Seventy-seven is smaller than ninety-six.,1,77,96,-19,19
11,44,404,Sixty-one is larger than fifty-nine.,1,61,59,2,2
56,224,938,Seventy-four is larger than sixty-six.,1,74,66,8,8
572,304,332,Fifty-eight is smaller than seventy-eight.,1,58,78,-20,20
195,780,1760,Ninety-five is larger than fifty-one.,1,95,51,44,44
775,124,708,Sixty-eight is smaller than fifty-five.,0,68,55,13,13
216,864,1851,Ninety-seven is larger than fifty-four.,1,97,54,43,43
618,488,566,Sixty-four is smaller than ninety-four.,1,64,94,-30,30
