,Unnamed: 0,original_idx,statement,label,n1,n2,diff,abs_diff
171,684,1646,Ninety-two is larger than seventy-one.,1,92,71,21,21
791,188,853,Seventy-two is smaller than sixty-nine.,0,72,69,3,3
359,444,510,Sixty-three is larger than eighty-one.,0,63,81,-18,18
299,204,214,Fifty-five is larger than ninety-four.,0,55,94,-39,39
580,336,372,Fifty-nine is smaller than seventy-four.,1,59,74,-15,15
963,876,1863,Ninety-seven is smaller than sixty-seven.,0,97,67,30,30
596,400,455,Sixty-two is smaller than sixty-eight.,1,62,68,-6,6
547,204,214,Fifty-five is smaller than ninety-four.,1,55,94,-39,39
378,520,611,Sixty-five is larger than ninety-five.,0,65,95,-30,30
224,896,1883,Ninety-seven is larger than eighty-nine.,1,97,89,8,8
24,96,621,Sixty-six is larger than fifty-six.,1,66,56,10,10
391,572,692,Sixty-seven is larger than eighty-seven.,0,67,87,-20,20
322,296,324,Fifty-eight is larger than sixty-nine.,0,58,69,-11,11
649,612,765,Sixty-nine is smaller than seventy-one.,1,69,71,-2,2
311,252,273,Fifty-seven is larger than sixty-two.,0,57,62,-5,5
724,912,1440,Eighty-six is smaller than eighty-seven.,1,86,87,-1,1
840,384,1238,Eighty-two is smaller than fifty-seven.,0,82,57,25,25
122,488,1387,Eighty-five is larger than seventy-six.,1,85,76,9,9
210,840,1824,Ninety-six is larger than seventy-three.,1,96,73,23,23
295,188,198,Fifty-five is larger than seventy-six.,0,55,76,-21,21
40,160,799,Seventy-one is larger than fifty-eight.,1,71,58,13,13
109,436,1321,Eighty-four is larger than fifty-two.,1,84,52,32,32
900,624,1569,Eighty-nine is smaller than eighty-three.,0,89,83,6,6
161,644,1598,Ninety-one is larger than sixty-six.,1,91,66,25,25
711,860,1266,Eighty-two is smaller than eighty-nine.,1,82,89,-7,7
176,704,1673,Ninety-three is larger than fifty-two.,1,93,52,41,41
45,180,845,Seventy-two is larger than sixty-one.,1,72,61,11,11
518,88,91,Fifty-three is smaller than fifty-five.,1,53,55,-2,2
701,820,1171,Seventy-nine is smaller than eighty-two.,1,79,82,-3,3
37,148,760,Sixty-nine is larger than sixty-four.,1,69,64,5,5
831,348,1167,Seventy-nine is smaller than seventy-six.,0,79,76,3,3
677,724,955,Seventy-four is smaller than eighty-six.,1,74,86,-12,12
255,28,28,Fifty-one is larger than eighty-three.,0,51,83,-32,32
716,880,1315,Eighty-three is smaller than ninety-five.,1,83,95,-12,12
130,520,1432,Eighty-six is larger than seventy-seven.,1,86,77,9,9
207,828,1812,Ninety-six is larger than fifty-nine.,1,96,59,37,37
353,420,475,Sixty-two is larger than ninety-one.,0,62,91,-29,29
64,256,1015,Seventy-six is larger than fifty-four.,1,76,54,22,22
108,432,1302,Eighty-three is larger than seventy-nine.,1,83,79,4,4
818,296,1076,Seventy-seven is smaller than seventy-three.,0,77,73,4,4
232,928,1917,Ninety-eight is larger than seventy-eight.,1,98,78,20,20
655,636,789,Sixty-nine is smaller than ninety-seven.,1,69,97,-28,28
829,340,1159,Seventy-nine is smaller than sixty-seven.,0,79,67,12,12
883,556,1480,Eighty-seven is smaller than eighty-two.,0,87,82,5,5
991,988,1978,Ninety-nine is smaller than ninety-seven.,0,99,97,2,2
914,680,1642,Ninety-two is smaller than sixty-six.,0,92,66,26,26
327,316,344,Fifty-eight is larger than ninety-two.,0,58,92,-34,34
80,320,1120,Seventy-eight is larger than seventy-three.,1,78,73,5,5
834,360,1197,Eighty-one is smaller than sixty-one.,0,81,61,20,20
332,336,372,Fifty-nine is larger than seventy-four.,0,59,74,-15,15
401,612,765,Sixty-nine is larger than seventy-one.,0,69,71,-2,2
485,948,1578,Eighty-nine is larger than ninety-four.,0,89,94,-5,5
767,92,617,Sixty-six is smaller than fifty-two.,0,66,52,14,14
6,24,311,Fifty-eight is larger than fifty-four.,1,58,54,4,4
947,812,1792,Ninety-five is smaller than eighty-six.,0,95,86,9,9
220,880,1867,Ninety-seven is larger than seventy-two.,1,97,72,25,25
902,632,1586,Ninety-one is smaller than fifty-three.,0,91,53,38,38
761,68,530,Sixty-four is smaller than fifty-three.,0,64,53,11,11
260,48,49,Fifty-two is larger than fifty-seven.,0,52,57,-5,5
739,972,1713,Ninety-three is smaller than ninety-seven.,1,93,97,-4,4
925,724,1693,Ninety-three is smaller than seventy-four.,0,93,74,19,19
257,36,36,Fifty-one is larger than ninety-two.,0,51,92,-41,41
416,672,862,Seventy-two is larger than eighty-one.,0,72,81,-9,9
286,152,158,Fifty-four is larger than eighty-one.,0,54,81,-27,27
543,188,198,Fifty-five is smaller than seventy-six.,1,55,76,-21,21
823,316,1116,Seventy-eight is smaller than sixty-eight.,0,78,68,10,10
333,340,376,Fifty-nine is larger than seventy-eight.,0,59,78,-19,19
606,440,506,Sixty-three is smaller than seventy-six.,1,63,76,-13,13
911,668,1630,Ninety-two is smaller than fifty-three.,0,92,53,39,39
814,280,1060,Seventy-seven is smaller than fifty-five.,0,77,55,22,22
709,852,1230,Eighty-one is smaller than ninety-eight.,1,81,98,-17,17
225,900,1887,Ninety-seven is larger than ninety-four.,1,97,94,3,3
810,264,1023,Seventy-six is smaller than sixty-three.,0,76,63,13,13
651,620,773,Sixty-nine is smaller than seventy-nine.,1,69,79,-10,10
234,936,1925,Ninety-eight is larger than eighty-seven.,1,98,87,11,11
498,8,8,Fifty-one is smaller than sixty-one.,1,51,61,-10,10
524,112,115,Fifty-three is smaller than eighty-two.,1,53,82,-29,29
222,888,1875,Ninety-seven is larger than eighty-one.,1,97,81,16,16
489,964,1667,Ninety-two is larger than ninety-five.,0,92,95,-3,3
903,636,1590,Ninety-one is smaller than fifty-seven.,0,91,57,34,34
892,592,1527,Eighty-eight is smaller than eighty-five.,0,88,85,3,3
545,196,206,Fifty-five is smaller than eighty-five.,1,55,85,-30,30
289,164,170,Fifty-four is larger than ninety-four.,0,54,94,-40,40
875,524,1436,Eighty-six is smaller than eighty-two.,0,86,82,4,4
691,780,1080,Seventy-seven is smaller than seventy-eight.,1,77,78,-1,1
780,144,756,Sixty-nine is smaller than fifty-nine.,0,69,59,10,10
557,244,259,Fifty-six is smaller than ninety-five.,1,56,95,-39,39
31,124,708,Sixty-eight is larger than fifty-five.,1,68,55,13,13
953,836,1820,Ninety-six is smaller than sixty-eight.,0,96,68,28,28
397,596,732,Sixty-eight is larger than eighty-three.,0,68,83,-15,15
725,916,1444,Eighty-six is smaller than ninety-two.,1,86,92,-6,6
970,904,1893,Ninety-eight is smaller than fifty-two.,0,98,52,46,46
352,416,471,Sixty-two is larger than eighty-six.,0,62,86,-24,24
178,712,1681,Ninety-three is larger than sixty-one.,1,93,61,32,32
346,392,437,Sixty-one is larger than ninety-seven.,0,61,97,-36,36
890,584,1519,Eighty-eight is smaller than seventy-six.,0,88,76,12,12
612,464,542,Sixty-four is smaller than sixty-seven.,1,64,67,-3,3
757,52,447,Sixty-two is smaller than fifty-eight.,0,62,58,4,4
578,328,364,Fifty-nine is smaller than sixty-five.,1,59,65,-6,6
358,440,506,Sixty-three is larger than seventy-six.,0,63,76,-13,13
218,872,1859,Ninety-seven is larger than sixty-three.,1,97,63,34,34
258,40,40,Fifty-one is larger than ninety-six.,0,51,96,-45,45
251,12,12,Fifty-one is larger than sixty-five.,0,51,65,-14,14
904,640,1594,Ninety-one is smaller than sixty-two.,0,91,62,29,29
158,632,1586,Ninety-one is larger than fifty-three.,1,91,53,38,38
186,744,1719,Ninety-four is larger than fifty-four.,1,94,54,40,40
152,608,1553,Eighty-nine is larger than sixty-five.,1,89,65,24,24
676,720,951,Seventy-four is smaller than eighty-two.,1,74,82,-8,8
201,804,1784,Ninety-five is larger than seventy-seven.,1,95,77,18,18
326,312,340,Fifty-eight is larger than eighty-seven.,0,58,87,-29,29
849,420,1290,Eighty-three is smaller than sixty-six.,0,83,66,17,17
336,352,388,Fifty-nine is larger than ninety-two.,0,59,92,-33,33
772,112,667,Sixty-seven is smaller than fifty-eight.,0,67,58,9,9
889,580,1515,Eighty-eight is smaller than seventy-two.,0,88,72,16,16
236,944,1933,Ninety-eight is larger than ninety-six.,1,98,96,2,2
160,640,1594,Ninety-one is larger than sixty-two.,1,91,62,29,29
822,312,1112,Seventy-eight is smaller than sixty-four.,0,78,64,14,14
774,120,704,Sixty-eight is smaller than fifty-one.,0,68,51,17,17
342,376,421,Sixty-one is larger than seventy-nine.,0,61,79,-18,18
766,88,582,Sixty-five is smaller than sixty-two.,0,65,62,3,3
452,816,1141,Seventy-eight is larger than ninety-seven.,0,78,97,-19,19
980,944,1933,Ninety-eight is smaller than ninety-six.,0,98,96,2,2
880,544,1468,Eighty-seven is smaller than sixty-eight.,0,87,68,19,19
729,932,1493,Eighty-seven is smaller than ninety-seven.,1,87,97,-10,10
754,40,400,Sixty-one is smaller than fifty-five.,0,61,55,6,6
296,192,202,Fifty-five is larger than eighty-one.,0,55,81,-26,26
123,492,1391,Eighty-five is larger than eighty-one.,1,85,81,4,4
936,768,1743,Ninety-four is smaller than eighty-one.,0,94,81,13,13
169,676,1638,Ninety-two is larger than sixty-two.,1,92,62,30,30
694,792,1092,Seventy-seven is smaller than ninety-two.,1,77,92,-15,15
698,808,1133,Seventy-eight is smaller than eighty-eight.,1,78,88,-10,10
542,184,194,Fifty-five is smaller than seventy-two.,1,55,72,-17,17
63,252,989,Seventy-five is larger than seventy-four.,1,75,74,1,1
983,956,1946,Ninety-nine is smaller than sixty-two.,0,99,62,37,37
26,104,629,Sixty-six is larger than sixty-five.,1,66,65,1,1
95,380,1234,Eighty-two is larger than fifty-three.,1,82,53,29,29
583,348,384,Fifty-nine is smaller than eighty-seven.,1,59,87,-28,28
165,660,1614,Ninety-one is larger than eighty-four.,1,91,84,7,7
457,836,1187,Seventy-nine is larger than ninety-nine.,0,79,99,-20,20
845,404,1258,Eighty-two is smaller than seventy-nine.,0,82,79,3,3
611,460,526,Sixty-three is smaller than ninety-eight.,1,63,98,-35,35
360,448,514,Sixty-three is larger than eighty-five.,0,63,85,-22,22
899,620,1565,Eighty-nine is smaller than seventy-eight.,0,89,78,11,11
841,388,1242,Eighty-two is smaller than sixty-two.,0,82,62,20,20
621,500,591,Sixty-five is smaller than seventy-three.,1,65,73,-8,8
470,888,1353,Eighty-four is larger than eighty-eight.,0,84,88,-4,4
420,688,878,Seventy-two is larger than ninety-eight.,0,72,98,-26,26
535,156,162,Fifty-four is smaller than eighty-five.,1,54,85,-31,31
646,600,736,Sixty-eight is smaller than eighty-seven.,1,68,87,-19,19
938,776,1751,Ninety-four is smaller than eighty-nine.,0,94,89,5,5
144,576,1511,Eighty-eight is larger than sixty-seven.,1,88,67,21,21
853,436,1321,Eighty-four is smaller than fifty-two.,0,84,52,32,32
13,52,447,Sixty-two is larger than fifty-eight.,1,62,58,4,4
468,880,1315,Eighty-three is larger than ninety-five.,0,83,95,-12,12
854,440,1325,Eighty-four is smaller than fifty-six.,0,84,56,28,28
164,656,1610,Ninety-one is larger than seventy-nine.,1,91,79,12,12
613,468,546,Sixty-four is smaller than seventy-two.,1,64,72,-8,8
495,988,1891,Ninety-seven is larger than ninety-nine.,0,97,99,-2,2
192,768,1743,Ninety-four is larger than eighty-one.,1,94,81,13,13
464,864,1270,Eighty-two is larger than ninety-four.,0,82,94,-12,12
423,700,910,Seventy-three is larger than eighty-five.,0,73,85,-12,12
419,684,874,Seventy-two is larger than ninety-four.,0,72,94,-22,22
41,164,803,Seventy-one is larger than sixty-three.,1,71,63,8,8
219,876,1863,Ninety-seven is larger than sixty-seven.,1,97,67,30,30
554,232,247,Fifty-six is smaller than eighty-two.,1,56,82,-26,26
590,376,421,Sixty-one is smaller than seventy-nine.,1,61,79,-18,18
318,280,301,Fifty-seven is larger than ninety-three.,0,57,93,-36,36
844,400,1254,Eighty-two is smaller than seventy-five.,0,82,75,7,7
828,336,1155,Seventy-nine is smaller than sixty-three.,0,79,63,16,16
815,284,1064,Seventy-seven is smaller than fifty-nine.,0,77,59,18,18
143,572,1507,Eighty-eight is larger than sixty-three.,1,88,63,25,25
984,960,1950,Ninety-nine is smaller than sixty-six.,0,99,66,33,33
633,548,653,Sixty-six is smaller than ninety-three.,1,66,93,-27,27
907,652,1606,Ninety-one is smaller than seventy-five.,0,91,75,16,16
23,92,617,Sixty-six is larger than fifty-two.,1,66,52,14,14
187,748,1723,Ninety-four is larger than fifty-eight.,1,94,58,36,36
22,88,582,Sixty-five is larger than sixty-two.,1,65,62,3,3
973,916,1905,Ninety-eight is smaller than sixty-five.,0,98,65,33,33
297,196,206,Fifty-five is larger than eighty-five.,0,55,85,-30,30
503,28,28,Fifty-one is smaller than eighty-three.,1,51,83,-32,32
905,644,1598,Ninety-one is smaller than sixty-six.,0,91,66,25,25
249,4,4,Fifty-one is larger than fifty-six.,0,51,56,-5,5
276,112,115,Fifty-three is larger than eighty-two.,0,53,82,-29,29
247,988,1978,Ninety-nine is larger than ninety-seven.,1,99,97,2,2
146,584,1519,Eighty-eight is larger than seventy-six.,1,88,76,12,12
407,636,789,Sixty-nine is larger than ninety-seven.,0,69,97,-28,28
686,760,1036,Seventy-six is smaller than seventy-eight.,1,76,78,-2,2
988,976,1966,Ninety-nine is smaller than eighty-four.,0,99,84,15,15
301,212,227,Fifty-six is larger than fifty-nine.,0,56,59,-3,3
307,236,251,Fifty-six is larger than eighty-six.,0,56,86,-30,30
806,248,985,Seventy-five is smaller than sixty-nine.,0,75,69,6,6
132,528,1452,Eighty-seven is larger than fifty-one.,1,87,51,36,36
575,316,344,Fifty-eight is smaller than ninety-two.,1,58,92,-34,34
48,192,882,Seventy-three is larger than fifty-three.,1,73,53,20,20
567,284,305,Fifty-seven is smaller than ninety-seven.,1,57,97,-40,40
93,372,1209,Eighty-one is larger than seventy-four.,1,81,74,7,7
349,404,459,Sixty-two is larger than seventy-three.,0,62,73,-11,11
497,4,4,Fifty-one is smaller than fifty-six.,1,51,56,-5,5
656,640,811,Seventy-one is smaller than seventy-three.,1,71,73,-2,2
637,564,684,Sixty-seven is smaller than seventy-eight.,1,67,78,-11,11
683,748,1001,Seventy-five is smaller than eighty-eight.,1,75,88,-13,13
787,172,837,Seventy-two is smaller than fifty-two.,0,72,52,20,20
762,72,534,Sixty-four is smaller than fifty-seven.,0,64,57,7,7
746,8,178,Fifty-five is smaller than fifty-three.,0,55,53,2,2
788,176,841,Seventy-two is smaller than fifty-six.,0,72,56,16,16
679,732,963,Seventy-four is smaller than ninety-five.,1,74,95,-21,21
599,412,467,Sixty-two is smaller than eighty-two.,1,62,82,-20,20
124,496,1408,Eighty-six is larger than fifty-one.,1,86,51,35,35
458,840,1218,Eighty-one is larger than eighty-five.,0,81,85,-4,4
981,948,1938,Ninety-nine is smaller than fifty-three.,0,99,53,46,46
510,56,57,Fifty-two is smaller than sixty-six.,1,52,66,-14,14
454,824,1175,Seventy-nine is larger than eighty-six.,0,79,86,-7,7
811,268,1027,Seventy-six is smaller than sixty-seven.,0,76,67,9,9
193,772,1747,Ninety-four is larger than eighty-five.,1,94,85,9,9
531,140,146,Fifty-four is smaller than sixty-seven.,1,54,67,-13,13
477,916,1444,Eighty-six is larger than ninety-two.,0,86,92,-6,6
446,792,1092,Seventy-seven is larger than ninety-two.,0,77,92,-15,15
848,416,1286,Eighty-three is smaller than sixty-two.,0,83,62,21,21
142,568,1503,Eighty-eight is larger than fifty-eight.,1,88,58,30,30
748,16,265,Fifty-seven is smaller than fifty-two.,0,57,52,5,5
744,0,44,Fifty-two is smaller than fifty-one.,0,52,51,1,1
805,244,981,Seventy-five is smaller than sixty-five.,0,75,65,10,10
781,148,760,Sixty-nine is smaller than sixty-four.,0,69,64,5,5
939,780,1760,Ninety-five is smaller than fifty-one.,0,95,51,44,44
876,528,1452,Eighty-seven is smaller than fifty-one.,0,87,51,36,36
738,968,1671,Ninety-two is smaller than ninety-nine.,1,92,99,-7,7
438,760,1036,Seventy-six is larger than seventy-eight.,0,76,78,-2,2
887,572,1507,Eighty-eight is smaller than sixty-three.,0,88,63,25,25
663,668,858,Seventy-two is smaller than seventy-six.,1,72,76,-4,4
872,512,1424,Eighty-six is smaller than sixty-eight.,0,86,68,18,18
131,524,1436,Eighty-six is larger than eighty-two.,1,86,82,4,4
879,540,1464,Eighty-seven is smaller than sixty-four.,0,87,64,23,23
955,844,1828,Ninety-six is smaller than seventy-seven.,0,96,77,19,19
735,956,1622,Ninety-one is smaller than ninety-four.,1,91,94,-3,3
313,260,281,Fifty-seven is larger than seventy-one.,0,57,71,-14,14
626,520,611,Sixty-five is smaller than ninety-five.,1,65,95,-30,30
929,740,1709,Ninety-three is smaller than ninety-two.,0,93,92,1,1
398,600,736,Sixty-eight is larger than eighty-seven.,0,68,87,-19,19
451,812,1137,Seventy-eight is larger than ninety-three.,0,78,93,-15,15
526,120,123,Fifty-three is smaller than ninety-one.,1,53,91,-38,38
862,472,1371,Eighty-five is smaller than fifty-eight.,0,85,58,27,27
484,944,1539,Eighty-eight is larger than ninety-nine.,0,88,99,-11,11
934,760,1735,Ninety-four is smaller than seventy-two.,0,94,72,22,22
472,896,1361,Eighty-four is larger than ninety-seven.,0,84,97,-13,13
292,176,186,Fifty-five is larger than sixty-three.,0,55,63,-8,8
417,676,866,Seventy-two is larger than eighty-five.,0,72,85,-13,13
910,664,1618,Ninety-one is smaller than eighty-eight.,0,91,88,3,3
538,168,174,Fifty-four is smaller than ninety-eight.,1,54,98,-44,44
383,540,645,Sixty-six is larger than eighty-four.,0,66,84,-18,18
680,736,967,Seventy-four is smaller than ninety-nine.,1,74,99,-25,25
256,32,32,Fifty-one is larger than eighty-seven.,0,51,87,-36,36
113,452,1337,Eighty-four is larger than sixty-nine.,1,84,69,15,15
21,84,578,Sixty-five is larger than fifty-seven.,1,65,57,8,8
820,304,1104,Seventy-eight is smaller than fifty-five.,0,78,55,23,23
733,948,1578,Eighty-nine is smaller than ninety-four.,1,89,94,-5,5
450,808,1133,Seventy-eight is larger than eighty-eight.,0,78,88,-10,10
837,372,1209,Eighty-one is smaller than seventy-four.,0,81,74,7,7
546,200,210,Fifty-five is smaller than eighty-nine.,1,55,89,-34,34
699,812,1137,Seventy-eight is smaller than ninety-three.,1,78,93,-15,15
339,364,409,Sixty-one is larger than sixty-six.,0,61,66,-5,5
343,380,425,Sixty-one is larger than eighty-four.,0,61,84,-23,23
287,156,162,Fifty-four is larger than eighty-five.,0,54,85,-31,31
15,60,489,Sixty-three is larger than fifty-six.,1,63,56,7,7
742,984,1845,Ninety-six is smaller than ninety-seven.,1,96,97,-1,1
610,456,522,Sixty-three is smaller than ninety-four.,1,63,94,-31,31
84,336,1155,Seventy-nine is larger than sixty-three.,1,79,63,16,16
479,924,1485,Eighty-seven is larger than eighty-eight.,0,87,88,-1,1
70,280,1060,Seventy-seven is larger than fifty-five.,1,77,55,22,22
46,184,849,Seventy-two is larger than sixty-five.,1,72,65,7,7
540,176,186,Fifty-five is smaller than sixty-three.,1,55,63,-8,8
330,328,364,Fifty-nine is larger than sixty-five.,0,59,65,-6,6
86,344,1163,Seventy-nine is larger than seventy-two.,1,79,72,7,7
266,72,73,Fifty-two is larger than eighty-four.,0,52,84,-32,32
960,864,1851,Ninety-seven is smaller than fifty-four.,0,97,54,43,43
644,592,728,Sixty-eight is smaller than seventy-eight.,1,68,78,-10,10
789,180,845,Seventy-two is smaller than sixty-one.,0,72,61,11,11
58,232,969,Seventy-five is larger than fifty-two.,1,75,52,23,23
928,736,1705,Ninety-three is smaller than eighty-seven.,0,93,87,6,6
12,48,443,Sixty-two is larger than fifty-four.,1,62,54,8,8
706,840,1218,Eighty-one is smaller than eighty-five.,1,81,85,-4,4
319,284,305,Fifty-seven is larger than ninety-seven.,0,57,97,-40,40
602,424,479,Sixty-two is smaller than ninety-five.,1,62,95,-33,33
