,statement,label
0,The Spanish word 'con' means 'to speak'.,0
1,The Spanish word 'uno' means 'one'.,1
2,The Spanish word 'tener' means 'to have'.,1
3,The Spanish word 'caliente' means 'hot'.,1
4,The Spanish word 'palabra' means 'word'.,1
5,The Spanish word 'pero' means 'but'.,1
6,The Spanish word 'o' means 'octopus'.,0
7,The Spanish word 'de' means 'now'.,0
8,The Spanish word 'y' means 'and'.,1
9,The Spanish word 'otro' means 'hot'.,0
10,The Spanish word 'hacer' means 'lost'.,0
11,The Spanish word 'tiempo' means 'market'.,0
12,The Spanish word 'decir' means 'order'.,0
13,The Spanish word 'conjunto' means 'son'.,0
14,The Spanish word 'tres' means 'three'.,1
15,The Spanish word 'querer' means 'of'.,0
16,The Spanish word 'aire' means 'silver'.,0
17,The Spanish word 'jugar' means 'to play'.,1
18,The Spanish word 'poner' means 'whale'.,0
19,The Spanish word 'casa' means 'to make'.,0
20,The Spanish word 'leer' means 'to read'.,1
21,The Spanish word 'mano' means 'too'.,0
22,The Spanish word 'grande' means 'large'.,1
23,The Spanish word 'tierra' means 'land'.,1
24,The Spanish word 'grande' means 'to ask'.,0
25,The Spanish word 'alto' means 'space'.,0
26,The Spanish word 'preguntar' means 'to describe'.,0
27,The Spanish word 'hombre' means 'simple'.,0
28,The Spanish word 'luz' means 'week'.,0
29,The Spanish word 'madre' means 'mother'.,1
30,The Spanish word 'mundo' means 'zebra'.,0
31,The Spanish word 'cerca' means 'dog'.,0
32,The Spanish word 'construir' means 'to build'.,1
33,The Spanish word 'padre' means 'special'.,0
34,The Spanish word 'nuevo' means 'always'.,0
35,The Spanish word 'parte' means 'part'.,1
36,The Spanish word 'lugar' means 'place'.,1
37,The Spanish word 'vivir' means 'sheep'.,0
38,The Spanish word 'espalda' means 'back'.,1
39,The Spanish word 'bueno' means 'good'.,1
40,The Spanish word 'dar' means 'before'.,0
41,The Spanish word 'nombre' means 'name'.,1
42,The Spanish word 'muy' means 'temperature'.,0
43,The Spanish word 'pensar' means 'to think'.,1
44,The Spanish word 'ayudar' means 'to help'.,1
45,The Spanish word 'antes' means 'before'.,1
46,The Spanish word 'derecho' means 'summer'.,0
47,The Spanish word 'viejo' means 'old'.,1
48,The Spanish word 'demasiado' means 'too'.,1
49,The Spanish word 'mismo' means 'to write'.,0
50,The Spanish word 'todo' means 'all'.,1
51,The Spanish word 'usar' means 'to fight'.,0
52,The Spanish word 'entonces' means 'corner'.,0
53,The Spanish word 'escribir' means 'to write'.,1
54,The Spanish word 'largo' means 'history'.,0
55,The Spanish word 'hacer' means 'neck'.,0
56,The Spanish word 'cosa' means 'thing'.,1
57,The Spanish word 'ver' means 'to see'.,1
58,The Spanish word 'dos' means 'enemy'.,0
59,The Spanish word 'venir' means 'to know'.,0
60,The Spanish word 'persona' means 'person'.,1
61,The Spanish word 'saber' means 'happy'.,0
62,The Spanish word 'agua' means 'water'.,1
63,The Spanish word 'primero' means 'first'.,1
64,The Spanish word 'lado' means 'equal'.,0
65,The Spanish word 'ahora' means 'now'.,1
66,The Spanish word 'encontrar' means 'person'.,0
67,The Spanish word 'cabeza' means 'head'.,1
68,The Spanish word 'respuesta' means 'bread'.,0
69,The Spanish word 'escuela' means 'school'.,1
70,The Spanish word 'crecer' means 'to grow'.,1
71,The Spanish word 'aprender' means 'light'.,0
72,The Spanish word 'planta' means 'cloud'.,0
73,The Spanish word 'sol' means 'sun'.,1
74,The Spanish word 'cuatro' means 'to imagine'.,0
75,The Spanish word 'ojo' means 'order'.,0
76,The Spanish word 'nunca' means 'to hear'.,0
77,The Spanish word 'ciudad' means 'city'.,1
78,The Spanish word 'cruzar' means 'pig'.,0
79,The Spanish word 'granja' means 'woman'.,0
80,The Spanish word 'historia' means 'office'.,0
81,The Spanish word 'mar' means 'sea'.,1
82,The Spanish word 'dibujar' means 'to draw'.,1
83,The Spanish word 'izquierda' means 'never'.,0
84,The Spanish word 'tarde' means 'hand'.,0
85,The Spanish word 'mientras' means 'while'.,1
86,The Spanish word 'noche' means 'night'.,1
87,The Spanish word 'vida' means 'life'.,1
88,The Spanish word 'norte' means 'north'.,1
89,The Spanish word 'libro' means 'industry'.,0
90,The Spanish word 'llevar' means 'end'.,0
91,The Spanish word 'ciencia' means 'to buy'.,0
92,The Spanish word 'comer' means 'to eat'.,1
93,The Spanish word 'amigo' means 'friend'.,1
94,The Spanish word 'escuchar' means 'market'.,0
95,The Spanish word 'caballo' means 'horse'.,1
96,The Spanish word 'cara' means 'name'.,0
97,The Spanish word 'madera' means 'to have'.,0
98,The Spanish word 'abierto' means 'open'.,1
99,The Spanish word 'parecer' means 'to seem'.,1
100,The Spanish word 'blanco' means 'to think'.,0
101,The Spanish word 'caminar' means 'to walk'.,1
102,The Spanish word 'ejemplo' means 'example'.,1
103,The Spanish word 'papel' means 'paper'.,1
104,The Spanish word 'grupo' means 'group'.,1
105,The Spanish word 'siempre' means 'month'.,0
106,The Spanish word 'carta' means 'nothing'.,0
107,The Spanish word 'coche' means 'car'.,1
108,The Spanish word 'segundo' means 'hello'.,0
109,The Spanish word 'suficiente' means 'enough'.,1
110,The Spanish word 'llano' means 'chair'.,0
111,The Spanish word 'chica' means 'to eat'.,0
112,The Spanish word 'joven' means 'hot'.,0
113,The Spanish word 'listo' means 'ready'.,1
114,The Spanish word 'rojo' means 'red'.,1
115,The Spanish word 'lista' means 'list'.,1
116,The Spanish word 'sentir' means 'to build'.,0
117,The Spanish word 'pronto' means 'to die'.,0
118,The Spanish word 'cuerpo' means 'body'.,1
119,The Spanish word 'perro' means 'dog'.,1
120,The Spanish word 'familia' means 'family'.,1
121,The Spanish word 'directo' means 'to eat'.,0
122,The Spanish word 'medir' means 'to carry'.,0
123,The Spanish word 'negro' means 'black'.,1
124,The Spanish word 'corto' means 'letter'.,0
125,The Spanish word 'clase' means 'class'.,1
126,The Spanish word 'viento' means 'wind'.,1
127,The Spanish word 'medio' means 'large'.,0
128,The Spanish word 'roca' means 'rock'.,1
129,The Spanish word 'orden' means 'old'.,0
130,The Spanish word 'fuego' means 'fire'.,1
131,The Spanish word 'sur' means 'south'.,1
132,The Spanish word 'problema' means 'problem'.,1
133,The Spanish word 'pieza' means 'duck'.,0
134,The Spanish word 'pasar' means 'to pass'.,1
135,The Spanish word 'rey' means 'king'.,1
136,The Spanish word 'multiplicar' means 'to multiply'.,1
137,The Spanish word 'nada' means 'nothing'.,1
138,The Spanish word 'rueda' means 'sister'.,0
139,The Spanish word 'fuerza' means 'force'.,1
140,The Spanish word 'azul' means 'eye'.,0
141,The Spanish word 'decidir' means 'to give'.,0
142,The Spanish word 'luna' means 'letter'.,0
143,The Spanish word 'isla' means 'island'.,1
144,The Spanish word 'pie' means 'lake'.,0
145,The Spanish word 'sistema' means 'nature'.,0
146,The Spanish word 'ocupado' means 'busy'.,1
147,The Spanish word 'prueba' means 'test'.,1
148,The Spanish word 'barco' means 'hello'.,0
149,The Spanish word 'oro' means 'story'.,0
150,The Spanish word 'seco' means 'book'.,0
151,The Spanish word 'maravilla' means 'bell'.,0
152,The Spanish word 'mil' means 'to eat'.,0
153,The Spanish word 'caliente' means 'iron'.,0
154,The Spanish word 'calor' means 'dry'.,0
155,The Spanish word 'pintar' means 'mouth'.,0
156,The Spanish word 'idioma' means 'moment'.,0
157,The Spanish word 'potencia' means 'power'.,1
158,The Spanish word 'volar' means 'to hear'.,0
159,The Spanish word 'caer' means 'to fall'.,1
160,The Spanish word 'oscuro' means 'dark'.,1
161,The Spanish word 'estrella' means 'star'.,1
162,The Spanish word 'belleza' means 'beauty'.,1
163,The Spanish word 'semana' means 'face'.,0
164,The Spanish word 'desarrollar' means 'to develop'.,1
165,The Spanish word 'libre' means 'free'.,1
166,The Spanish word 'fuerte' means 'dress'.,0
167,The Spanish word 'especial' means 'strong'.,0
168,The Spanish word 'cola' means 'name'.,0
169,The Spanish word 'espacio' means 'to measure'.,0
170,The Spanish word 'cinco' means 'five'.,1
171,The Spanish word 'temprano' means 'early'.,1
172,The Spanish word 'oeste' means 'moment'.,0
173,The Spanish word 'suelo' means 'ground'.,1
174,The Spanish word 'cantar' means 'simple'.,0
175,The Spanish word 'seis' means 'to find'.,0
176,The Spanish word 'diez' means 'ten'.,1
177,The Spanish word 'sencilla' means 'simple'.,1
178,The Spanish word 'guerra' means 'example'.,0
179,The Spanish word 'lento' means 'slow'.,1
180,The Spanish word 'amar' means 'teeth'.,0
181,The Spanish word 'dinero' means 'mouth'.,0
182,The Spanish word 'mapa' means 'map'.,1
183,The Spanish word 'gobernar' means 'to eat'.,0
184,The Spanish word 'voz' means 'voice'.,1
185,The Spanish word 'hermano' means 'silver'.,0
186,The Spanish word 'huevo' means 'egg'.,1
187,The Spanish word 'creer' means 'to fly'.,0
188,The Spanish word 'hablar' means 'to speak'.,1
189,The Spanish word 'hielo' means 'ice'.,1
190,The Spanish word 'ola' means 'wave'.,1
191,The Spanish word 'presente' means 'present'.,1
192,The Spanish word 'brazo' means 'arm'.,1
193,The Spanish word 'bosque' means 'forest'.,1
194,The Spanish word 'ventana' means 'half'.,0
195,The Spanish word 'tienda' means 'insect'.,0
196,The Spanish word 'verano' means 'to push'.,0
197,The Spanish word 'tren' means 'train'.,1
198,The Spanish word 'pierna' means 'leg'.,1
199,The Spanish word 'cielo' means 'old'.,0
200,The Spanish word 'invierno' means 'winter'.,1
201,The Spanish word 'vidrio' means 'to hear'.,0
202,The Spanish word 'vaca' means 'cow'.,1
203,The Spanish word 'suave' means 'skin'.,0
204,The Spanish word 'mes' means 'month'.,1
205,The Spanish word 'feliz' means 'second'.,0
206,The Spanish word 'esperanza' means 'hope'.,1
207,The Spanish word 'flor' means 'market'.,0
208,The Spanish word 'viaje' means 'system'.,0
209,The Spanish word 'oficina' means 'direct'.,0
210,The Spanish word 'recibir' means 'time'.,0
211,The Spanish word 'boca' means 'mouth'.,1
212,The Spanish word 'morir' means 'to die'.,1
213,The Spanish word 'semilla' means 'seed'.,1
214,The Spanish word 'aceite' means 'oil'.,1
215,The Spanish word 'sangre' means 'sun'.,0
216,The Spanish word 'mezclar' means 'to mix'.,1
217,The Spanish word 'perdido' means 'test'.,0
218,The Spanish word 'igual' means 'to imagine'.,0
219,The Spanish word 'elegir' means 'to choose'.,1
220,The Spanish word 'guardar' means 'to save'.,1
221,The Spanish word 'matar' means 'bread'.,0
222,The Spanish word 'hijo' means 'son'.,1
223,The Spanish word 'lago' means 'month'.,0
224,The Spanish word 'momento' means 'moment'.,1
225,The Spanish word 'primavera' means 'wave'.,0
226,The Spanish word 'diccionario' means 'dictionary'.,1
227,The Spanish word 'leche' means 'glass'.,0
228,The Spanish word 'pagar' means 'to pay'.,1
229,The Spanish word 'edad' means 'clock'.,0
230,The Spanish word 'vestido' means 'example'.,0
231,The Spanish word 'nube' means 'to write'.,0
232,The Spanish word 'piedra' means 'stone'.,1
233,The Spanish word 'experimento' means 'dark'.,0
234,The Spanish word 'clave' means 'rose'.,0
235,The Spanish word 'hierro' means 'iron'.,1
236,The Spanish word 'veinte' means 'twenty'.,1
237,The Spanish word 'piel' means 'skin'.,1
238,The Spanish word 'sonrisa' means 'smile'.,1
239,The Spanish word 'ocho' means 'too'.,0
240,The Spanish word 'comprar' means 'dry'.,0
241,The Spanish word 'empujar' means 'to govern'.,0
242,The Spanish word 'siete' means 'seven'.,1
243,The Spanish word 'tercero' means 'third'.,1
244,The Spanish word 'describir' means 'to die'.,0
245,The Spanish word 'cocinero' means 'cook'.,1
246,The Spanish word 'piso' means 'set'.,0
247,The Spanish word 'resultado' means 'result'.,1
248,The Spanish word 'quemar' means 'hot'.,0
249,The Spanish word 'seguro' means 'danger'.,0
250,The Spanish word 'gato' means 'cat'.,1
251,The Spanish word 'siglo' means 'large'.,0
252,The Spanish word 'ley' means 'dog'.,0
253,The Spanish word 'frase' means 'paper'.,0
254,The Spanish word 'arena' means 'sand'.,1
255,The Spanish word 'temperatura' means 'hand'.,0
256,The Spanish word 'dedo' means 'finger'.,1
257,The Spanish word 'industria' means 'industry'.,1
258,The Spanish word 'luchar' means 'heat'.,0
259,The Spanish word 'silla' means 'neighbor'.,0
260,The Spanish word 'peligro' means 'danger'.,1
261,The Spanish word 'fruta' means 'goat'.,0
262,The Spanish word 'soldado' means 'soldier'.,1
263,The Spanish word 'proteger' means 'dry'.,0
264,The Spanish word 'moderno' means 'modern'.,1
265,The Spanish word 'estudiante' means 'student'.,1
266,The Spanish word 'esquina' means 'corner'.,1
267,The Spanish word 'anillo' means 'to love'.,0
268,The Spanish word 'insecto' means 'then'.,0
269,The Spanish word 'historia' means 'history'.,1
270,The Spanish word 'hueso' means 'bone'.,1
271,The Spanish word 'imaginar' means 'to imagine'.,1
272,The Spanish word 'mujer' means 'woman'.,1
273,The Spanish word 'adivinar' means 'war'.,0
274,The Spanish word 'agudo' means 'sharp'.,1
275,The Spanish word 'ala' means 'wing'.,1
276,The Spanish word 'vecino' means 'neighbor'.,1
277,The Spanish word 'poema' means 'to win'.,0
278,The Spanish word 'campana' means 'to connect'.,0
279,The Spanish word 'carne' means 'meat'.,1
280,The Spanish word 'famoso' means 'to believe'.,0
281,The Spanish word 'miedo' means 'fear'.,1
282,The Spanish word 'delgado' means 'thin'.,1
283,The Spanish word 'reloj' means 'clock'.,1
284,The Spanish word 'enviar' means 'to send'.,1
285,The Spanish word 'amarillo' means 'land'.,0
286,The Spanish word 'rosa' means 'rose'.,1
287,The Spanish word 'llegar' means 'insect'.,0
288,The Spanish word 'conectar' means 'to connect'.,1
289,The Spanish word 'grasa' means 'new'.,0
290,The Spanish word 'pan' means 'eye'.,0
291,The Spanish word 'oferta' means 'offer'.,1
292,The Spanish word 'esclavo' means 'slave'.,1
293,The Spanish word 'pato' means 'wolf'.,0
294,The Spanish word 'mercado' means 'market'.,1
295,The Spanish word 'enemigo' means 'enemy'.,1
296,The Spanish word 'bebida' means 'train'.,0
297,The Spanish word 'naturaleza' means 'to buy'.,0
298,The Spanish word 'dientes' means 'hope'.,0
299,The Spanish word 'concha' means 'shell'.,1
